order_id,product_name,department,aisle
1,Bulgarian Yogurt,dairy eggs,yogurt
98,Whole Milk Greek Blended Vanilla Bean Yogurt,dairy eggs,yogurt
13746,Whole Milk Greek Blended Vanilla Bean Yogurt,dairy eggs,yogurt
170,Plain Non-Fat Greek Yogurt,dairy eggs,yogurt
20900,Plain Non-Fat Greek Yogurt,dairy eggs,yogurt
631,Dairy Free Coconut Milk Raspberry Yogurt Alternative,dairy eggs,yogurt
4234,Dairy Free Coconut Milk Raspberry Yogurt Alternative,dairy eggs,yogurt
11390,Dairy Free Coconut Milk Raspberry Yogurt Alternative,dairy eggs,yogurt
17683,Dairy Free Coconut Milk Raspberry Yogurt Alternative,dairy eggs,yogurt
631,Dairy Free Coconut Milk Yogurt Alternative,dairy eggs,yogurt
11390,Dairy Free Coconut Milk Yogurt Alternative,dairy eggs,yogurt
17683,Dairy Free Coconut Milk Yogurt Alternative,dairy eggs,yogurt
18711,Dairy Free Coconut Milk Yogurt Alternative,dairy eggs,yogurt
878,Cream Top Smooth & Creamy Vanilla Yogurt,dairy eggs,yogurt
8595,Cream Top Smooth & Creamy Vanilla Yogurt,dairy eggs,yogurt
14301,Cream Top Smooth & Creamy Vanilla Yogurt,dairy eggs,yogurt
17549,Cream Top Smooth & Creamy Vanilla Yogurt,dairy eggs,yogurt
915,Light & Fit Greek Cherry Yogurt,dairy eggs,yogurt
1032,Clover Org Greek Plain,dairy eggs,yogurt
1145,Original Red Raspberry Yogurt,dairy eggs,yogurt
3378,Original Red Raspberry Yogurt,dairy eggs,yogurt
1145,Danimals Strawberry Explosion & Strikin' Strawberry Kiwi Smoothies,dairy eggs,yogurt
1335,Vanilla Yoghurt,dairy eggs,yogurt
17637,Vanilla Yoghurt,dairy eggs,yogurt
1591,Organic Greek Whole Milk Blended Vanilla Bean Yogurt,dairy eggs,yogurt
2822,Organic Greek Whole Milk Blended Vanilla Bean Yogurt,dairy eggs,yogurt
7034,Organic Greek Whole Milk Blended Vanilla Bean Yogurt,dairy eggs,yogurt
16824,Organic Greek Whole Milk Blended Vanilla Bean Yogurt,dairy eggs,yogurt
17637,Organic Greek Whole Milk Blended Vanilla Bean Yogurt,dairy eggs,yogurt
1591,Lemon Yogurt,dairy eggs,yogurt
2068,Lemon Yogurt,dairy eggs,yogurt
6971,Lemon Yogurt,dairy eggs,yogurt
8964,Lemon Yogurt,dairy eggs,yogurt
9017,Lemon Yogurt,dairy eggs,yogurt
10146,Lemon Yogurt,dairy eggs,yogurt
17982,Lemon Yogurt,dairy eggs,yogurt
1591,Strawberry Rhubarb Yoghurt,dairy eggs,yogurt
8964,Strawberry Rhubarb Yoghurt,dairy eggs,yogurt
10146,Strawberry Rhubarb Yoghurt,dairy eggs,yogurt
11490,Strawberry Rhubarb Yoghurt,dairy eggs,yogurt
11980,Strawberry Rhubarb Yoghurt,dairy eggs,yogurt
1597,Organic Plain Greek Whole Milk Yogurt,dairy eggs,yogurt
2822,Organic Plain Greek Whole Milk Yogurt,dairy eggs,yogurt
6286,Organic Plain Greek Whole Milk Yogurt,dairy eggs,yogurt
8562,Organic Plain Greek Whole Milk Yogurt,dairy eggs,yogurt
11114,Organic Plain Greek Whole Milk Yogurt,dairy eggs,yogurt
13746,Organic Plain Greek Whole Milk Yogurt,dairy eggs,yogurt
14538,Organic Plain Greek Whole Milk Yogurt,dairy eggs,yogurt
17637,Organic Plain Greek Whole Milk Yogurt,dairy eggs,yogurt
20990,Organic Plain Greek Whole Milk Yogurt,dairy eggs,yogurt
23606,Organic Plain Greek Whole Milk Yogurt,dairy eggs,yogurt
24431,Organic Plain Greek Whole Milk Yogurt,dairy eggs,yogurt
25629,Organic Plain Greek Whole Milk Yogurt,dairy eggs,yogurt
1703,Total 0% Nonfat Greek Yogurt,dairy eggs,yogurt
2889,Total 0% Nonfat Greek Yogurt,dairy eggs,yogurt
5985,Total 0% Nonfat Greek Yogurt,dairy eggs,yogurt
6601,Total 0% Nonfat Greek Yogurt,dairy eggs,yogurt
16910,Total 0% Nonfat Greek Yogurt,dairy eggs,yogurt
24707,Total 0% Nonfat Greek Yogurt,dairy eggs,yogurt
1721,Whole Milk Plain Yogurt,dairy eggs,yogurt
6562,Whole Milk Plain Yogurt,dairy eggs,yogurt
24152,Whole Milk Plain Yogurt,dairy eggs,yogurt
1865,Original Style Yoghurt Plain,dairy eggs,yogurt
1955,0% Fat Superfruits Greek Yogurt,dairy eggs,yogurt
1955,Organic Lemon Lowfat Yogurt,dairy eggs,yogurt
1955,Organic Lowfat Yogurt Banana Vanilla,dairy eggs,yogurt
9879,Organic Lowfat Yogurt Banana Vanilla,dairy eggs,yogurt
10156,Organic Lowfat Yogurt Banana Vanilla,dairy eggs,yogurt
1955,Mixed Berries Whole Milk Icelandic Style Skyr Yogurt,dairy eggs,yogurt
21463,Mixed Berries Whole Milk Icelandic Style Skyr Yogurt,dairy eggs,yogurt
1955,Strawberry Rhubarb Yogurt,dairy eggs,yogurt
1983,Strawberry Rhubarb Yogurt,dairy eggs,yogurt
21463,Strawberry Rhubarb Yogurt,dairy eggs,yogurt
2068,Tart Cherry Yoghurt,dairy eggs,yogurt
2068,Raspberry Yoghurt,dairy eggs,yogurt
6971,Raspberry Yoghurt,dairy eggs,yogurt
11980,Raspberry Yoghurt,dairy eggs,yogurt
12151,Raspberry Yoghurt,dairy eggs,yogurt
17982,Raspberry Yoghurt,dairy eggs,yogurt
22167,Raspberry Yoghurt,dairy eggs,yogurt
2318,Honey Vanilla Greek Yogurt,dairy eggs,yogurt
13562,Honey Vanilla Greek Yogurt,dairy eggs,yogurt
2445,Organic Strawana Probugs Kefir,dairy eggs,yogurt
21258,Organic Strawana Probugs Kefir,dairy eggs,yogurt
2468,Vanilla Skyr Nonfat Yogurt,dairy eggs,yogurt
3563,Vanilla Skyr Nonfat Yogurt,dairy eggs,yogurt
7997,Vanilla Skyr Nonfat Yogurt,dairy eggs,yogurt
14043,Vanilla Skyr Nonfat Yogurt,dairy eggs,yogurt
19485,Vanilla Skyr Nonfat Yogurt,dairy eggs,yogurt
23566,Vanilla Skyr Nonfat Yogurt,dairy eggs,yogurt
2530,Total 2% Lowfat Greek Strained Yogurt With Blueberry,dairy eggs,yogurt
6454,Total 2% Lowfat Greek Strained Yogurt With Blueberry,dairy eggs,yogurt
9188,Total 2% Lowfat Greek Strained Yogurt With Blueberry,dairy eggs,yogurt
11930,Total 2% Lowfat Greek Strained Yogurt With Blueberry,dairy eggs,yogurt
2530,Total 2% with Strawberry Lowfat Greek Strained Yogurt,dairy eggs,yogurt
7264,Total 2% with Strawberry Lowfat Greek Strained Yogurt,dairy eggs,yogurt
12950,Total 2% with Strawberry Lowfat Greek Strained Yogurt,dairy eggs,yogurt
13843,Total 2% with Strawberry Lowfat Greek Strained Yogurt,dairy eggs,yogurt
2888,Greek Vanilla Yogurt,dairy eggs,yogurt
2937,Coconut Yoghurt,dairy eggs,yogurt
15693,Coconut Yoghurt,dairy eggs,yogurt
2948,YoKids Squeeze! Organic Strawberry Flavor Yogurt,dairy eggs,yogurt
3056,GoGurt Yogurt Tubes Strawberry and Blue Raspberry,dairy eggs,yogurt
17148,GoGurt Yogurt Tubes Strawberry and Blue Raspberry,dairy eggs,yogurt
3056,GoGurt Strawberry and Blueberry Tubes,dairy eggs,yogurt
3243,Vanilla Almond Milk Yogurt,dairy eggs,yogurt
12703,Vanilla Almond Milk Yogurt,dairy eggs,yogurt
16303,Vanilla Almond Milk Yogurt,dairy eggs,yogurt
22146,Vanilla Almond Milk Yogurt,dairy eggs,yogurt
25315,Vanilla Almond Milk Yogurt,dairy eggs,yogurt
3378,Mixed Berry Yogurt,dairy eggs,yogurt
7200,Mixed Berry Yogurt,dairy eggs,yogurt
3378,Original Mountain Blueberry Low Fat Yogurt,dairy eggs,yogurt
3378,Harvest Peach Yogurt,dairy eggs,yogurt
8704,Harvest Peach Yogurt,dairy eggs,yogurt
3378,Plain Greek Yogurt,dairy eggs,yogurt
13706,Plain Greek Yogurt,dairy eggs,yogurt
17613,Plain Greek Yogurt,dairy eggs,yogurt
20951,Plain Greek Yogurt,dairy eggs,yogurt
3405,Almond Milk Peach Yogurt,dairy eggs,yogurt
22146,Almond Milk Peach Yogurt,dairy eggs,yogurt
3405,Almond Milk Blueberry Yogurt,dairy eggs,yogurt
22146,Almond Milk Blueberry Yogurt,dairy eggs,yogurt
3422,Icelandic Style Skyr Blueberry Non-fat Yogurt,dairy eggs,yogurt
4234,Icelandic Style Skyr Blueberry Non-fat Yogurt,dairy eggs,yogurt
10752,Icelandic Style Skyr Blueberry Non-fat Yogurt,dairy eggs,yogurt
17585,Icelandic Style Skyr Blueberry Non-fat Yogurt,dairy eggs,yogurt
19485,Icelandic Style Skyr Blueberry Non-fat Yogurt,dairy eggs,yogurt
23566,Icelandic Style Skyr Blueberry Non-fat Yogurt,dairy eggs,yogurt
24239,Icelandic Style Skyr Blueberry Non-fat Yogurt,dairy eggs,yogurt
3422,Total 2% All Natural Plain Greek Yogurt,dairy eggs,yogurt
4494,Total 2% All Natural Plain Greek Yogurt,dairy eggs,yogurt
13586,Total 2% All Natural Plain Greek Yogurt,dairy eggs,yogurt
21572,Total 2% All Natural Plain Greek Yogurt,dairy eggs,yogurt
3898,Coffee Flavor Yogurt,dairy eggs,yogurt
3957,Organic YoBaby Vanilla Yogurt,dairy eggs,yogurt
7755,Organic YoBaby Vanilla Yogurt,dairy eggs,yogurt
3979,Watermelon/Mixed Berry Variety Pack Low-Fat Greek Yogurt,dairy eggs,yogurt
4201,0% Greek Strained Yogurt,dairy eggs,yogurt
18762,0% Greek Strained Yogurt,dairy eggs,yogurt
19473,0% Greek Strained Yogurt,dairy eggs,yogurt
21894,0% Greek Strained Yogurt,dairy eggs,yogurt
24416,0% Greek Strained Yogurt,dairy eggs,yogurt
4203,Fat Free Strawberry Yogurt,dairy eggs,yogurt
6842,Fat Free Strawberry Yogurt,dairy eggs,yogurt
23395,Fat Free Strawberry Yogurt,dairy eggs,yogurt
4203,Triple Zero Salted Caramel,dairy eggs,yogurt
4203,Triple Zero Banana Creme Oikos Greek Yogurt,dairy eggs,yogurt
4234,Organic Greek Lowfat Yogurt With Strawberries,dairy eggs,yogurt
21029,Organic Greek Lowfat Yogurt With Strawberries,dairy eggs,yogurt
23080,Organic Greek Lowfat Yogurt With Strawberries,dairy eggs,yogurt
4234,Organic Greek Nonfat Yogurt With Mixed Berries,dairy eggs,yogurt
10752,Organic Greek Nonfat Yogurt With Mixed Berries,dairy eggs,yogurt
4284,Total 0% Greek Yogurt,dairy eggs,yogurt
6394,Total 0% Greek Yogurt,dairy eggs,yogurt
11239,Total 0% Greek Yogurt,dairy eggs,yogurt
12594,Total 0% Greek Yogurt,dairy eggs,yogurt
13825,Total 0% Greek Yogurt,dairy eggs,yogurt
16423,Total 0% Greek Yogurt,dairy eggs,yogurt
18620,Total 0% Greek Yogurt,dairy eggs,yogurt
22596,Total 0% Greek Yogurt,dairy eggs,yogurt
4562,Organic YoKids Smoothie Strawberry Banana Lowfat Yogurt,dairy eggs,yogurt
21696,Organic YoKids Smoothie Strawberry Banana Lowfat Yogurt,dairy eggs,yogurt
4968,Total Plain Greek Strained Yogurt,dairy eggs,yogurt
8037,Total Plain Greek Strained Yogurt,dairy eggs,yogurt
21605,Total Plain Greek Strained Yogurt,dairy eggs,yogurt
5046,Organic Whole Milk Yogurt,dairy eggs,yogurt
5299,"Dairy Free Cultured Coconut Milk Yogurt, Blueberry",dairy eggs,yogurt
5365,"Organic Nonfat Yogurt, Peach",dairy eggs,yogurt
5365,Yo Baby Organic Whole Milk Banana Mango Yogurt,dairy eggs,yogurt
7997,Yo Baby Organic Whole Milk Banana Mango Yogurt,dairy eggs,yogurt
13481,Yo Baby Organic Whole Milk Banana Mango Yogurt,dairy eggs,yogurt
5365,YoBaby Peach Pear Yogurt,dairy eggs,yogurt
13481,YoBaby Peach Pear Yogurt,dairy eggs,yogurt
